Model,Accuracy,F1-Score,ROC-AUC
Simulated Basic,0.725,0.7222104269874969,0.7976521470497374
Simulated Regularized,0.735,0.7315457537853851,0.7976521470497374
Simulated Balanced,0.71,0.7117654220779221,0.7969313150036043
Simulated SMOTE,0.73,0.7318038262982084,0.7974461950365564
Simulated Polynomial,0.71,0.705774469433006,0.7938420348058903
Real Basic,0.8846153846153846,0.8304552590266877,0.6776811594202897
Real Regularized,0.8846153846153846,0.8304552590266877,0.6707246376811593
Real Balanced,0.6615384615384615,0.7220859497645212,0.6794202898550724
Real SMOTE,0.6615384615384615,0.7220859497645212,0.6852173913043478
Real Polynomial,0.8769230769230769,0.8266078184110971,0.6684057971014492
Real Deep Learning,0.8846153846153846,0.8304552590266877,0.6527536231884058
Simulated Multi-Class Basic,0.99,0.9899811439346322,N/A
Simulated Multi-Class Regularized,1.0,1.0,N/A
Simulated Multi-Class Balanced,0.97,0.9706153846153847,N/A
Simulated Multi-Class SMOTE,0.985,0.9851636839807945,N/A
Simulated Multi-Class Polynomial,0.985,0.984963473602966,N/A
